sku,url,ok,http_status,final_url,error
L1-CIE0580-E8-03,https://payhip.com/b/Y4Sk0,yes,200,https://payhip.com/b/Y4Sk0,
L1-CIE0580-E8-04,https://payhip.com/b/wMfp0,yes,200,https://payhip.com/b/wMfp0,
L1-CIE0580-E9-01,https://payhip.com/b/tW9ey,yes,200,https://payhip.com/b/tW9ey,
L1-CIE0580-E9-02,https://payhip.com/b/tUVfc,yes,200,https://payhip.com/b/tUVfc,
L1-CIE0580-E9-03,https://payhip.com/b/Z97Yn,yes,200,https://payhip.com/b/Z97Yn,
L1-CIE0580-E9-04,https://payhip.com/b/EcVvs,yes,200,https://payhip.com/b/EcVvs,
L1-CIE0580-E9-05,https://payhip.com/b/x0j5B,yes,200,https://payhip.com/b/x0j5B,
L1-CIE0580-E9-06,https://payhip.com/b/MrULA,yes,200,https://payhip.com/b/MrULA,
L1-CIE0580-E9-07,https://payhip.com/b/FMJcA,yes,200,https://payhip.com/b/FMJcA,
L1-EDX4MA1-F1-01,https://payhip.com/b/JDImL,yes,200,https://payhip.com/b/JDImL,
L1-EDX4MA1-F1-02,https://payhip.com/b/6zLpq,yes,200,https://payhip.com/b/6zLpq,
L1-EDX4MA1-F1-03,https://payhip.com/b/4oGAl,yes,200,https://payhip.com/b/4oGAl,
L1-EDX4MA1-F1-04,https://payhip.com/b/491C6,yes,200,https://payhip.com/b/491C6,
L1-EDX4MA1-F1-05,https://payhip.com/b/3IDxP,yes,200,https://payhip.com/b/3IDxP,
L1-EDX4MA1-F1-06,https://payhip.com/b/7pWH4,yes,200,https://payhip.com/b/7pWH4,
L1-EDX4MA1-F1-07,https://payhip.com/b/eMO8z,yes,200,https://payhip.com/b/eMO8z,
L1-EDX4MA1-F1-08,https://payhip.com/b/6Tzqj,yes,200,https://payhip.com/b/6Tzqj,
L1-EDX4MA1-F1-09,https://payhip.com/b/cx6qR,yes,200,https://payhip.com/b/cx6qR,
L1-EDX4MA1-F1-10,https://payhip.com/b/34RQJ,yes,200,https://payhip.com/b/34RQJ,
L1-EDX4MA1-F1-11,https://payhip.com/b/I9F4l,yes,200,https://payhip.com/b/I9F4l,
L1-EDX4MA1-F2-01,https://payhip.com/b/u4Vk8,yes,200,https://payhip.com/b/u4Vk8,
L1-EDX4MA1-F2-02,https://payhip.com/b/A2ZD9,yes,200,https://payhip.com/b/A2ZD9,
L1-EDX4MA1-F2-03,https://payhip.com/b/usy7o,yes,200,https://payhip.com/b/usy7o,
L1-EDX4MA1-F2-04,https://payhip.com/b/T9Zg4,yes,200,https://payhip.com/b/T9Zg4,
L1-EDX4MA1-F2-05,https://payhip.com/b/Edea8,yes,200,https://payhip.com/b/Edea8,
L1-EDX4MA1-F2-06,https://payhip.com/b/XHY12,yes,200,https://payhip.com/b/XHY12,
L1-EDX4MA1-F2-07,https://payhip.com/b/ikXRz,yes,200,https://payhip.com/b/ikXRz,
L1-EDX4MA1-F2-08,https://payhip.com/b/sQC1D,yes,200,https://payhip.com/b/sQC1D,
L1-EDX4MA1-F3-01,https://payhip.com/b/0fyu5,yes,200,https://payhip.com/b/0fyu5,
L1-EDX4MA1-F3-02,https://payhip.com/b/pJe7b,yes,200,https://payhip.com/b/pJe7b,
L1-EDX4MA1-F3-03,https://payhip.com/b/Yiw2M,yes,200,https://payhip.com/b/Yiw2M,
L1-EDX4MA1-F3-04,https://payhip.com/b/JUHhV,yes,200,https://payhip.com/b/JUHhV,
L1-EDX4MA1-F4-01,https://payhip.com/b/8g4aS,yes,200,https://payhip.com/b/8g4aS,
L1-EDX4MA1-F4-02,https://payhip.com/b/AoDzh,yes,200,https://payhip.com/b/AoDzh,
L1-EDX4MA1-F4-03,https://payhip.com/b/NhPya,yes,200,https://payhip.com/b/NhPya,
L1-EDX4MA1-F4-04,https://payhip.com/b/rYKsQ,yes,200,https://payhip.com/b/rYKsQ,
L1-EDX4MA1-F4-05,https://payhip.com/b/Pyjvt,yes,200,https://payhip.com/b/Pyjvt,
L1-EDX4MA1-F4-06,https://payhip.com/b/CfojV,yes,200,https://payhip.com/b/CfojV,
L1-EDX4MA1-F4-07,https://payhip.com/b/cg9rW,yes,200,https://payhip.com/b/cg9rW,
L1-EDX4MA1-F4-08,https://payhip.com/b/Coyep,yes,200,https://payhip.com/b/Coyep,
L1-EDX4MA1-F4-09,https://payhip.com/b/nkiWm,yes,200,https://payhip.com/b/nkiWm,
L1-EDX4MA1-F4-10,https://payhip.com/b/PIl4N,yes,200,https://payhip.com/b/PIl4N,
L1-EDX4MA1-F4-11,https://payhip.com/b/R9MBw,yes,200,https://payhip.com/b/R9MBw,
L1-EDX4MA1-F5-01,https://payhip.com/b/2LexV,yes,200,https://payhip.com/b/2LexV,
L1-EDX4MA1-F5-02,https://payhip.com/b/6lDUV,yes,200,https://payhip.com/b/6lDUV,
L1-EDX4MA1-F6-01,https://payhip.com/b/qUhCz,yes,200,https://payhip.com/b/qUhCz,
L1-EDX4MA1-F6-02,https://payhip.com/b/4Ko37,yes,200,https://payhip.com/b/4Ko37,
L1-EDX4MA1-F6-03,https://payhip.com/b/fuB57,yes,200,https://payhip.com/b/fuB57,
L1-EDX4MA1-H1-01,https://payhip.com/b/0BYj2,yes,200,https://payhip.com/b/0BYj2,
L1-EDX4MA1-H1-02,https://payhip.com/b/MVuwX,yes,200,https://payhip.com/b/MVuwX,
L1-EDX4MA1-H1-03,https://payhip.com/b/S6DTP,yes,200,https://payhip.com/b/S6DTP,
L1-EDX4MA1-H1-04,https://payhip.com/b/i2NQY,yes,200,https://payhip.com/b/i2NQY,
L1-EDX4MA1-H1-05,https://payhip.com/b/9blZB,yes,200,https://payhip.com/b/9blZB,
L1-EDX4MA1-H1-06,https://payhip.com/b/m9Nhr,yes,200,https://payhip.com/b/m9Nhr,
L1-EDX4MA1-H1-07,https://payhip.com/b/f2WUS,yes,200,https://payhip.com/b/f2WUS,
L1-EDX4MA1-H1-08,https://payhip.com/b/o2mKY,yes,200,https://payhip.com/b/o2mKY,
L1-EDX4MA1-H1-09,https://payhip.com/b/TQzR1,yes,200,https://payhip.com/b/TQzR1,
L1-EDX4MA1-H1-10,https://payhip.com/b/0arIn,yes,200,https://payhip.com/b/0arIn,
L1-EDX4MA1-H1-11,https://payhip.com/b/kTpKN,yes,200,https://payhip.com/b/kTpKN,
L1-EDX4MA1-H2-01,https://payhip.com/b/ug2w0,yes,200,https://payhip.com/b/ug2w0,
L1-EDX4MA1-H2-02,https://payhip.com/b/mKJZO,yes,200,https://payhip.com/b/mKJZO,
L1-EDX4MA1-H2-03,https://payhip.com/b/0Dv3x,yes,200,https://payhip.com/b/0Dv3x,
L1-EDX4MA1-H2-04,https://payhip.com/b/fk9YR,yes,200,https://payhip.com/b/fk9YR,
L1-EDX4MA1-H2-05,https://payhip.com/b/3SCDV,yes,200,https://payhip.com/b/3SCDV,
L1-EDX4MA1-H2-06,https://payhip.com/b/uM0VX,yes,200,https://payhip.com/b/uM0VX,
L1-EDX4MA1-H2-07,https://payhip.com/b/K7gx0,yes,200,https://payhip.com/b/K7gx0,
L1-EDX4MA1-H2-08,https://payhip.com/b/rRGtQ,yes,200,https://payhip.com/b/rRGtQ,
L1-EDX4MA1-H3-01,https://payhip.com/b/M9G6x,yes,200,https://payhip.com/b/M9G6x,
L1-EDX4MA1-H3-02,https://payhip.com/b/AUe3h,yes,200,https://payhip.com/b/AUe3h,
L1-EDX4MA1-H3-03,https://payhip.com/b/A63Kq,yes,200,https://payhip.com/b/A63Kq,
L1-EDX4MA1-H3-04,https://payhip.com/b/UYF0T,yes,200,https://payhip.com/b/UYF0T,
L1-EDX4MA1-H4-01,https://payhip.com/b/8jFHn,yes,200,https://payhip.com/b/8jFHn,
L1-EDX4MA1-H4-02,https://payhip.com/b/u2AQw,yes,200,https://payhip.com/b/u2AQw,
L1-EDX4MA1-H4-03,https://payhip.com/b/N1LSD,yes,200,https://payhip.com/b/N1LSD,
L1-EDX4MA1-H4-04,https://payhip.com/b/bDgJ1,yes,200,https://payhip.com/b/bDgJ1,
L1-EDX4MA1-H4-05,https://payhip.com/b/WCA84,yes,200,https://payhip.com/b/WCA84,
