upload_priority,sku,level,board,board_label,tier_scope,final_title_en,title_variant_used,final_title_len,listing_title_short_en,listing_title_mobile_en,price_early_bird,price_regular,payhip_url_seed
4,L1-CIE0580-E1-05,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-05 Ordering (Extended),short,34,CIE 0580 E1-05 Ordering (Extended),CIE 0580 E1-05 Ordering (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-05
4,L1-CIE0580-E1-06,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-06 Four Operations (Extended),short,41,CIE 0580 E1-06 Four Operations (Extended),CIE 0580 E1-06 Four Operations (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-06
4,L1-CIE0580-E1-07,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-07 Indices I (Extended),short,35,CIE 0580 E1-07 Indices I (Extended),CIE 0580 E1-07 Indices I (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-07
4,L1-CIE0580-E1-08,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-08 Standard Form (Extended),short,39,CIE 0580 E1-08 Standard Form (Extended),CIE 0580 E1-08 Standard Form (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-08
4,L1-CIE0580-E1-09,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-09 Estimation & Approximation (Extended),short,52,CIE 0580 E1-09 Estimation & Approximation (Extended),CIE 0580 E1-09 Estimation & Approximation (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-09
4,L1-CIE0580-E1-10,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-10 Limits Of Accuracy (Extended),short,44,CIE 0580 E1-10 Limits Of Accuracy (Extended),CIE 0580 E1-10 Limits Of Accuracy (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-10
4,L1-CIE0580-E1-11,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-11 Ratio & Proportion (Extended),short,44,CIE 0580 E1-11 Ratio & Proportion (Extended),CIE 0580 E1-11 Ratio & Proportion (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-11
4,L1-CIE0580-E1-12,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-12 Rates (Extended),short,31,CIE 0580 E1-12 Rates (Extended),CIE 0580 E1-12 Rates (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-12
4,L1-CIE0580-E1-13,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-13 Percentages (Extended),short,37,CIE 0580 E1-13 Percentages (Extended),CIE 0580 E1-13 Percentages (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-13
4,L1-CIE0580-E1-14,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-14 Calculator Use (Extended),short,40,CIE 0580 E1-14 Calculator Use (Extended),CIE 0580 E1-14 Calculator Use (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-14
